system:index,B11,B12,B2,B3,B4,B8,NDBI,NDVI,SCL,class,year,.geo
1_1_10_0,0.1004,0.0394,0.0278,0.0504,0.0258,0.259,-0.44129103,0.81882024,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.69353594262876,-1.0348142915414829]}"
1_1_11_0,0.2481,0.125,0.0402,0.0625,0.0422,0.3368,-0.15164988,0.7773087,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.76216723033549,-1.0395753625473163]}"
1_1_12_0,0.2364,0.1091,0.0426,0.0814,0.04,0.3908,-0.24617349,0.814299,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.8081609728824,-1.0141530400067338]}"
1_1_13_0,0.2535,0.1179,0.0484,0.0822,0.04765,0.362,-0.17627941,0.76736236,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.84732751927002,-0.9990613432335258]}"
1_1_14_0,0.2227,0.0941,0.0312,0.0618,0.0302,0.398,-0.28242308,0.8589444,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.89332126181694,-1.0340956393141871]}"
1_1_15_0,0.1678,0.06965,0.0275,0.05385,0.02665,0.3098,-0.29731995,0.8415812,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.04441789260584,-1.0602366140820652]}"
1_1_16_0,0.2137,0.1027,0.0578,0.08635,0.06045,0.3692,-0.2667696,0.71860814,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.1034372067725,-0.989449369693447]}"
1_1_17_0,0.22085,0.0914,0.0327,0.05255,0.02755,0.3952,-0.28301275,0.86966294,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.8493936444235,-0.8816515355991044]}"
1_1_18_0,0.1964,0.0816,0.03175,0.0542,0.02665,0.3734,-0.3106353,0.86676663,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.75668750710236,-0.8405086955864303]}"
1_1_19_0,0.1814,0.0711,0.0352,0.049,0.0269,0.3308,-0.29168293,0.84959465,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.69973431808918,-0.8810227149002207]}"
1_1_20_0,0.2115,0.087,0.0319,0.05535,0.0291,0.362,-0.2624237,0.85118896,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.8493936444235,-0.9551337258400813]}"
1_1_21_0,0.2324,0.1064,0.0373,0.06865,0.03165,0.4014,-0.26664564,0.8538275,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.99563937267816,-0.7093546641049802]}"
1_1_22_0,0.226,0.1053,0.0355,0.0563,0.0302,0.3448,-0.20812894,0.83893335,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.97982902367765,-0.7313633885659084]}"
1_1_23_0,0.234,0.104,0.041,0.0744,0.0357,0.3828,-0.24124515,0.8293907,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.98333245328571,-0.7718774078796988]}"
